URL,Complex Name,Address
https://www.apartments.com/north-beach-on-kernan-jacksonville-fl/fmv2eqr/,North Beach on Kernan,"12193 Kernan Lake Dr, Jacksonville, FL 32246"
https://www.apartments.com/54-magnolia-jacksonville-fl/f70l1ht/,54 Magnolia,"9800 Touchton Rd, Jacksonville, FL 32246"
https://www.apartments.com/maa-mandarin-lakes-jacksonville-fl/17s3v57/,MAA Mandarin Lakes,"11001 Old Staugustine Rd, Jacksonville, FL 32257"
https://www.apartments.com/lakeside-jacksonville-fl/yqrce9v/,Lakeside,"8700 Southside Blvd, Jacksonville, FL 32256"
https://www.apartments.com/addison-landing-jacksonville-fl/txzkkz9/,Addison Landing,"9455 103rd St, Jacksonville, FL 32210"
https://www.apartments.com/trails-at-bartram-park-jacksonville-fl/l66gyrg/,Trails at Bartram Park,"13525 Bartram Park Blvd, Jacksonville, FL 32258"
https://www.apartments.com/heritage-deerwood-jacksonville-fl/nh6bqtp/,Heritage Deerwood,"10901 Burnt Mill Rd, Jacksonville, FL 32256"
https://www.apartments.com/the-square-at-59-caroline-jacksonville-fl/rrglsf0/,The Square at 59 Caroline,"5959 Fort Caroline Rd, Jacksonville, FL 32277"
https://www.apartments.com/island-pointe-jacksonville-fl/qjjqm5x/,Island Pointe,"1000 Island Point Dr, Jacksonville, FL 32218"
https://www.apartments.com/gran-bay-apartment-homes-jacksonville-fl/3zhl5ff/,Gran Bay Apartment Homes,"13444 Gran Bay Pky, Jacksonville, FL 32258"
https://www.apartments.com/tree-house-apartments-jacksonville-fl/rcqwyd2/,Tree House Apartments,"3500 University Blvd N, Jacksonville, FL 32277"
https://www.apartments.com/spyglass-jacksonville-fl/kggdqs9/,Spyglass,"8540 Homeplace Dr, Jacksonville, FL 32256"
https://www.apartments.com/park-place-apartments-jacksonville-fl/54glelm/,Park Place Apartments,"7514 Hogan Rd, Jacksonville, FL 32216"
https://www.apartments.com/the-reserve-at-st-johns-river-jacksonville-fl/ldw03yd/,The Reserve at St. Johns River,"5885 Edenfield Rd, Jacksonville, FL 32277"
https://www.apartments.com/mezza-apartments-jacksonville-fl/bktfsb8/,Mezza Apartments,"11701 Palm Lake Dr, Jacksonville, FL 32218"
https://www.apartments.com/the-commons-jacksonville-fl/f7mgl5r/,The Commons,"1721 Anniston Rd, Jacksonville, FL 32246"
https://www.apartments.com/the-meridian-jacksonville-fl/vv10ebd/,The Meridian,"653 Monument Rd, Jacksonville, FL 32225"
https://www.apartments.com/heron-walk-jacksonville-fl/t8twtqc/,Heron Walk,"7400 Powers Ave, Jacksonville, FL 32217"
https://www.apartments.com/sonoma-southside-rentals-jacksonville-fl/bdg4yn8/,Sonoma Southside Rentals,"7740 Southside Blvd, Jacksonville, FL 32256"
https://www.apartments.com/views-at-harbortown-jacksonville-fl/ds56knl/,Views at Harbortown,"14030 Atlantic Blvd, Jacksonville, FL 32225"
https://www.apartments.com/sola-south-lux-apartments-jacksonville-fl/rzb9g93/,SOLA South Lux Apartments,"8074 Gate Pkwy W, Jacksonville, FL 32216"
https://www.apartments.com/point-at-tamaya-jacksonville-fl/jcvb875/,Point at Tamaya,"3050 Tamaya Blvd, Jacksonville, FL 32246"
https://www.apartments.com/broxton-bay-apartments-jacksonville-fl/lvq8rbf/,Broxton Bay Apartments,"12900 Broxton Bay Dr, Jacksonville, FL 32218"
https://www.apartments.com/ciel-luxury-apartments-jacksonville-fl/n0br3wp/,Ciel Luxury Apartments,"4929 Skyway Dr, Jacksonville, FL 32246"
https://www.apartments.com/riverside-st-johns-jacksonville-fl/dr3pffl/,Riverside St. Johns,"555 Bishop Gate Ln, Jacksonville, FL 32204"
https://www.apartments.com/the-jaxon-jacksonville-fl/rgcm7h1/,The Jaxon,"4450 Tropea Way, Jacksonville, FL 32246"
https://www.apartments.com/jtb-apartments-jacksonville-fl/0ydrt02/,JTB Apartments,"8876 A.C. Skinner Pky, Jacksonville, FL 32256"
https://www.apartments.com/vera-jacksonville-fl/dh72xsk/,Vera,"13051 Gran Bay Pky, Jacksonville, FL 32258"
https://www.apartments.com/satori-town-center-jacksonville-fl/1678ee5/,Satori Town Center,"10640 Satori Ln, Jacksonville, FL 32256"
https://www.apartments.com/sur-southside-quarter-jacksonville-fl/wfn2bxk/,SUR Southside Quarter,"7385 Park Village Dr, Jacksonville, FL 32256"
https://www.apartments.com/soba-apartments-jacksonville-fl/8wtt583/,SoBA Apartments,"1444 Home St, Jacksonville, FL 32207"
https://www.apartments.com/san-marco-promenade-jacksonville-fl/lxnyf8d/,San Marco Promenade,"1905 Promenade Way, Jacksonville, FL 32207"
https://www.apartments.com/vista-brooklynn-apartments-jacksonville-fl/vk8ltce/,Vista Brooklynn Apartments,"200 Riverside Ave, Jacksonville, FL 32202"
https://www.apartments.com/lofts-at-jefferson-station-jacksonville-fl/y9c7j2s/,Lofts at Jefferson Station,"799 Water St, Jacksonville, FL 32204"
https://www.apartments.com/the-ridley-jacksonville-fl/y5ebpws/,The Ridley,"12517 Beach Blvd, Jacksonville, FL 32246"
https://www.apartments.com/lofts-at-baymeadows-jacksonville-fl/0l2k8h0/,Lofts at Baymeadows,"8050 Baymeadows Cir W, Jacksonville, FL 32256"
https://www.apartments.com/terrabella-jacksonville-fl/547f4mn/,Terrabella,"13723 Atlantic Blvd, Jacksonville, FL 32225"
https://www.apartments.com/tapestry-at-westland-village-jacksonville-fl/qk3mprw/,Tapestry at Westland Village,"6505 Collins Rd, Jacksonville, FL 32244"
https://www.apartments.com/argyle-lake-at-oakleaf-town-center-jacksonville-fl/e4h1yzq/,Argyle Lake at Oakleaf Town Center,"9849 Crosshill Blvd, Jacksonville, FL 32222"
https://www.apartments.com/the-felix-jacksonville-fl/pr75y3t/,The Felix,"11723 Wells Creek Pky, Jacksonville, FL 32256"
https://www.apartments.com/rise-julington-jacksonville-fl/5kc5tzp/,RISE Julington,"12397 San Jose Blvd, Jacksonville, FL 32223"
https://www.apartments.com/fountainhead-apartments-jacksonville-fl/v498rgg/,Fountainhead Apartments,"7237 Corklan Dr, Jacksonville, FL 32258"
https://www.apartments.com/the-hendricks-at-san-marco-jacksonville-fl/t5my1r8/,The Hendricks at San Marco,"1520 Alford Pl, Jacksonville, FL 32207"
https://www.apartments.com/lenox-cove-newly-designed-apartments-jacksonville-fl/8ktt8d0/,Lenox Cove | NEWLY-DESIGNED APARTMENTS,"8737 Baymeadows Rd, Jacksonville, FL 32256"
https://www.apartments.com/novo-kendall-town-jacksonville-fl/fswhtss/,Novo Kendall Town,"1290 Kendall Town Blvd, Jacksonville, FL 32225"
https://www.apartments.com/aventon-soraya-jacksonville-fl/cmvrdjd/,Aventon Soraya,"13163 Ranch Rd, Jacksonville, FL 32218"
https://www.apartments.com/avere-southside-quarter-jacksonville-fl/gdxpk2z/,AVERE SOUTHSIDE QUARTER,"7507 Park Village Dr, Jacksonville, FL 32256"
https://www.apartments.com/eden-at-kendall-west-jacksonville-fl/3vt604f/,Eden at Kendall West,"9105 Tredinick Pky, Jacksonville, FL 32211"
https://www.apartments.com/rise-bartram-park-jacksonville-fl/xtpj0rp/,RISE Bartram Park,"14900 Inspire Way, Jacksonville, FL 32258"
https://www.apartments.com/equinox-west-homes-for-rent-jacksonville-fl/3sekehe/,Equinox West - Homes for Rent,"8283 Meridian Rd, Jacksonville, FL 32256"
https://www.apartments.com/olea-beach-haven-jacksonville-fl/rbcbs73/,Olea Beach Haven,"4101 San Pablo Pky, Jacksonville, FL 32224"
https://www.apartments.com/longleaf-at-st-johns-jacksonville-fl/qcydvtw/,Longleaf at St. Johns,"100 Audubon Pl, Jacksonville, FL 32259"
https://www.apartments.com/integra-park-at-oakleaf-middleburg-fl/2hr7ywc/,Integra Park at Oakleaf,"824 Integra Park Dr, Middleburg, FL 32068"
https://www.apartments.com/sentosa-beach-walk-st-johns-fl/thyh5hc/,Sentosa Beach Walk,"35 Crystal Palm Blvd, St Johns, FL 32259"
https://www.apartments.com/rise-at-nocatee-ponte-vedra-beach-fl/fy17s8r/,RISE at Nocatee,"1200 Preservation Trl, Ponte Vedra Beach, FL 32081"
https://www.apartments.com/otter-run-apartments-atlantic-beach-fl/xted8qn/,Otter Run Apartments,"1025 Assisi Ln, Atlantic Beach, FL 32233"
https://www.apartments.com/surf-apartments-atlantic-beach-fl/rkglej3/,Surf Apartments,"2130 Mayport Rd, Atlantic Beach, FL 32233"
https://www.apartments.com/mallard-cove-apartments-atlantic-beach-fl/2y806pc/,Mallard Cove Apartments,"2900 State Road A1A, Atlantic Beach, FL 32233"
https://www.apartments.com/laurel-grove-apartment-homes-orange-park-fl/t1g9n5b/,Laurel Grove Apartment Homes,"2020 Wells Rd, Orange Park, FL 32073"
https://www.apartments.com/the-beach-house-jacksonville-beach-fl/x7rz9rm/,The Beach House,"1300 Shetter Ave, Jacksonville Beach, FL 32250"
