,Unnamed: 0,Floor Plan Name,Price,Unit Name,Square Footage,Availability,Beds,Baths,Name,URL,Address,Location,Longitude,Latitude
67,67,The Ortega,1791.0,Unit 1806,765.0,Now,2.0,2.0,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202","(30.3279317, -81.6593479)",,3.0
68,68,"1 BR, 1 BA - Classic",1179.0,Unit 6-051,680.0,Now,1.0,1.0,The Landings at San Marco,https://www.apartments.com/the-landings-at-san-marco-jacksonville-fl/we2dnrk/,"2600 Art Museum Dr, Jacksonville, FL 32207","(30.300189, -81.61325)",,3.0
69,69,"1 BR, 1 BA - Classic",1179.0,Unit 8-076,680.0,Now,1.0,1.0,The Landings at San Marco,https://www.apartments.com/the-landings-at-san-marco-jacksonville-fl/we2dnrk/,"2600 Art Museum Dr, Jacksonville, FL 32207","(30.300189, -81.61325)",,3.0
70,70,"1 BR, 1 BA - Classic",1179.0,Unit 18-179,680.0,Now,1.0,1.0,The Landings at San Marco,https://www.apartments.com/the-landings-at-san-marco-jacksonville-fl/we2dnrk/,"2600 Art Museum Dr, Jacksonville, FL 32207","(30.300189, -81.61325)",,3.0
71,71,"1 BR, 1 BA - Upgrade",1204.0,Unit 13-129,680.0,Now,1.0,1.0,The Landings at San Marco,https://www.apartments.com/the-landings-at-san-marco-jacksonville-fl/we2dnrk/,"2600 Art Museum Dr, Jacksonville, FL 32207","(30.300189, -81.61325)",,3.0
72,72,"1 BR, 1 BA - Upgrade",1204.0,Unit 1-006,680.0,Now,1.0,1.0,The Landings at San Marco,https://www.apartments.com/the-landings-at-san-marco-jacksonville-fl/we2dnrk/,"2600 Art Museum Dr, Jacksonville, FL 32207","(30.300189, -81.61325)",,3.0
73,73,Mangrove(1 Bed 1 Bath),850.0,Unit 810,884.0,Now,1.0,1.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)",,3.0
74,74,Mangrove(1 Bed 1 Bath),850.0,Unit 115,884.0,Now,1.0,1.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)",,3.0
75,75,Mangrove(1 Bed 1 Bath),850.0,Unit 1201,884.0,Now,1.0,1.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)",,3.0
76,76,Mangrove(1 Bed 1 Bath),850.0,Unit 806,884.0,May 12,1.0,1.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)",,3.0
77,77,Mangrove (Fully Renovated),1080.0,Unit 1403,884.0,Now,1.0,1.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)",,3.0
78,78,Mangrove (Fully Renovated),1080.0,Unit 1407,884.0,Now,1.0,1.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)",,3.0
79,79,Mangrove (Fully Renovated),1080.0,Unit 1411,884.0,Now,1.0,1.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)",,3.0
80,80,Maple (2 bed 2 bath),1025.0,Unit 701,1230.0,Now,2.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)",,3.0
81,81,Maple (2 bed 2 bath),1025.0,Unit 206,1230.0,Now,2.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)",,3.0
82,82,Maple (2 bed 2 bath),1025.0,Unit 1215,1230.0,Now,2.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)",,3.0
83,83,Maple (2 bed 2 bath),1025.0,Unit 301,1230.0,Now,2.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)",,3.0
84,84,Maple (2 bed 2 bath),1025.0,Unit 102,1230.0,Now,2.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)",,3.0
85,85,Maple (2 bed 2 bath),1025.0,Unit 101,1230.0,Now,2.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)",,3.0
86,86,Maple (2 bed 2 bath),1025.0,Unit 704,1230.0,Now,2.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)",,3.0
87,87,Maple (2 bed 2 bath),1025.0,Unit 1208,1230.0,Now,2.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)",,3.0
88,88,Maple (Fully Renovated),1399.0,Unit 1401,1230.0,Now,2.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)",,3.0
89,89,Maple (Fully Renovated),1399.0,Unit 1404,1230.0,Now,2.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)",,3.0
90,90,Maple (Fully Renovated),1399.0,Unit 1409,1230.0,Now,2.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)",,3.0
91,91,Bald Cypress (3 bed 2 bath),1399.0,Unit 902,1538.0,Feb 28,3.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)",,3.0
92,92,Bald Cypress (3 bed 2 bath),1399.0,Unit 103,1538.0,Now,3.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)",,3.0
93,93,Bald Cypress (3 bed 2 bath),1399.0,Unit 324,1538.0,Now,3.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)",,3.0
94,94,Bald Cypress (3 bed 2 bath),1624.0,Unit 1101,1538.0,Now,3.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)",,3.0
95,95,Bald Cypress (3 bed 2 bath),1399.0,Unit 316,1538.0,Mar 22,3.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)",,3.0
96,96,Bald Cypress (3 bed 2 bath),1399.0,Unit 116,1538.0,Mar 26,3.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)",,3.0
97,97,1 Bed 1 Bath,1249.0,Unit 1021,775.0,Now,1.0,1.0,Oaks at Normandy Apartments,https://www.apartments.com/oaks-at-normandy-apartments-jacksonville-fl/z8mr8ez/,"7777 Normandy Blvd, Jacksonville, FL 32221","(30.295249424524307, -81.77590789121044)",,3.0
98,98,1 Bed 1 Bath,1299.0,Unit 713,775.0,Now,1.0,1.0,Oaks at Normandy Apartments,https://www.apartments.com/oaks-at-normandy-apartments-jacksonville-fl/z8mr8ez/,"7777 Normandy Blvd, Jacksonville, FL 32221","(30.295249424524307, -81.77590789121044)",,3.0
99,99,1 Bed 1 Bath,1299.0,Unit 703,775.0,Now,1.0,1.0,Oaks at Normandy Apartments,https://www.apartments.com/oaks-at-normandy-apartments-jacksonville-fl/z8mr8ez/,"7777 Normandy Blvd, Jacksonville, FL 32221","(30.295249424524307, -81.77590789121044)",,3.0
