Unnamed: 0,Floor Plan Name,Price,Unit Name,Square Footage,Availability,Beds,Baths,Name,URL,Address,Longitude,Latitude,geometry,x_jittered,y_jittered,Neighborhood,DollarperSqFoot,NeighborhoodNumber
40,Lucia,2599.0,Unit 14106,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",-81.536207600281,30.141658843561,POINT (-9076569.111277923 3521771.7941252715),-9076575.038301373,3521776.3170068352,2,1.8073713490959664,2
41,Lucia,2599.0,Unit 14110,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",-81.536207600281,30.141658843561,POINT (-9076569.111277923 3521771.7941252715),-9076564.17221916,3521776.899355948,2,1.8073713490959664,2
42,Lucia,2599.0,Unit 14112,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",-81.536207600281,30.141658843561,POINT (-9076569.111277923 3521771.7941252715),-9076565.580958689,3521763.432585208,2,1.8073713490959664,2
43,Lucia,2599.0,Unit 14116,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",-81.536207600281,30.141658843561,POINT (-9076569.111277923 3521771.7941252715),-9076577.333230408,3521779.9177617254,2,1.8073713490959664,2
44,Lucia,2599.0,Unit 12610,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",-81.536207600281,30.141658843561,POINT (-9076569.111277923 3521771.7941252715),-9076560.241665032,3521765.9576754807,2,1.8073713490959664,2
45,Lucia,2599.0,Unit 12612,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",-81.536207600281,30.141658843561,POINT (-9076569.111277923 3521771.7941252715),-9076576.012959898,3521769.236858083,2,1.8073713490959664,2
46,Lucia,2599.0,Unit 14105,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",-81.536207600281,30.141658843561,POINT (-9076569.111277923 3521771.7941252715),-9076565.879634434,3521779.819589844,2,1.8073713490959664,2
47,Lucia,2599.0,Unit 14111,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",-81.536207600281,30.141658843561,POINT (-9076569.111277923 3521771.7941252715),-9076566.234534912,3521763.1570546003,2,1.8073713490959664,2
48,Lucia,2599.0,Unit 14115,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",-81.536207600281,30.141658843561,POINT (-9076569.111277923 3521771.7941252715),-9076575.340833887,3521764.1824746164,2,1.8073713490959664,2
49,Lucia,2599.0,Unit 14156,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",-81.536207600281,30.141658843561,POINT (-9076569.111277923 3521771.7941252715),-9076559.49136896,3521779.899587192,2,1.8073713490959664,2
