Complex URL,Floor Plan Name,Price,Unit Name,Square Footage,Availability,Beds,Baths
https://www.apartments.com/13655-coman-rd-jacksonville-fl/56bxfkm/,3 Bedroom | 2 Bathroom,$1880,,"1,442 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/3943-san-pablo-rd-s-jacksonville-fl/xysywsq/,3 Bedroom | 2 Bathroom,$1999,,"1,259 sq ft",Nov 18,4 bd,2 ba
https://www.apartments.com/1572-oak-ridge-dr-w-jacksonville-fl/vljb3te/,3 Bedroom | 2 Bathroom,$2295,,"2,680 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/5054-knightsbridge-cir-n-jacksonville-fl/jz00qx6/,3 Bedroom | 2 Bathroom,$1520,,"1,195 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/10867-krugerrand-ln-jacksonville-fl/t3rhy99/,3 Bedroom | 2 Bathroom,$1599,,"1,839 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/6584-beryl-st-jacksonville-fl/sn9b8c7/,3 Bedroom | 2 Bathroom,$1326,,"1,192 sq ft",Nov 18,2 bd,2 ba
https://www.apartments.com/1085-porter-st-jacksonville-fl/p0zznjt/,3 Bedroom | 2 Bathroom,$2000,,"1,406 sq ft",Nov 18,2 bd,2.5 ba
https://www.apartments.com/4979-tan-st-jacksonville-fl/49se44k/,3 Bedroom | 2 Bathroom,$1895,,"1,230 sq ft",Nov 18,4 bd,2 ba
https://www.apartments.com/758-henley-ct-jacksonville-fl/7njl7mw/,3 Bedroom | 2 Bathroom,$1599,,"1,438 sq ft",Nov 18,3 bd,2.5 ba
https://www.apartments.com/15745-rachel-creek-dr-jacksonville-fl/nb0fnfm/,3 Bedroom | 2 Bathroom,$2225,,"2,871 sq ft",Nov 18,4 bd,3 ba
https://www.apartments.com/7872-georgia-jack-dr-n-jacksonville-fl/q1dd67x/,3 Bedroom | 2 Bathroom,$1785,,"1,105 sq ft",Nov 18,3 bd,2 ba
